product_name,date,region,brand,category,sales_quantity,price,original_price,discount_percentage,stock_level,customer_rating,review_count,delivery_days,seller,is_weekend,is_holiday,day_of_week,month,quarter,sales_quantity_lag_1,price_lag_1,sales_quantity_lag_3,price_lag_3,sales_quantity_lag_7,price_lag_7,sales_quantity_rolling_mean_3,price_rolling_mean_3,sales_quantity_rolling_mean_7,price_rolling_mean_7,price_target,sales_target
Детская книга Гарри Поттер Дж. Роулинг,2025-03-01,Нижний Новгород,Махаон,Книги,24,970.0,970.0,0.0,200.0,4.9,701.0,7.0,АО «Владимиров Константинов»,True,False,5,3,1,,,,,,,,,,,579.5,207.0
Детская книга Гарри Поттер Дж. Роулинг,2025-03-01,Новосибирск,Махаон,Книги,27,840.0,840.0,0.0,108.0,4.9,312.0,2.0,"ООО «Логинова, Лазарев и Молчанова»",True,False,5,3,1,24.0,970.0,,,,,,,,,515.0,191.0
Детская книга Гарри Поттер Дж. Роулинг,2025-03-01,Ростов-на-Дону,Махаон,Книги,24,779.5,779.5,0.0,322.5,5.0,457.0,4.0,Media Direction Group,True,False,5,3,1,27.0,840.0,,,,,25.0,863.1666666666666,,,910.0,185.0
Детская книга Гарри Поттер Дж. Роулинг,2025-03-01,Санкт-Петербург,Махаон,Книги,50,875.0,875.0,0.0,215.5,4.9,694.0,3.5,Кулаков и партнеры,True,False,5,3,1,24.0,779.5,24.0,970.0,,,33.666666666666664,831.5,,,889.0,147.0
Детская книга Гарри Поттер Дж. Роулинг,2025-03-02,Москва,Махаон,Книги,21,800.0,800.0,0.0,487.0,5.0,323.0,7.0,НПО «Ермаков»,True,False,6,3,1,50.0,875.0,27.0,840.0,,,31.666666666666668,818.1666666666666,,,980.0,134.0
Детская книга Гарри Поттер Дж. Роулинг,2025-03-02,Нижний Новгород,Махаон,Книги,21,610.0,769.0,19.0,511.0,5.0,682.0,7.0,Нортгаз,True,False,6,3,1,21.0,800.0,24.0,779.5,,,30.666666666666668,761.6666666666666,,,990.0,140.0
Детская книга Гарри Поттер Дж. Роулинг,2025-03-02,Самара,Махаон,Книги,17,900.0,900.0,0.0,284.0,5.0,365.0,2.0,ИП «Костин»,True,False,6,3,1,21.0,610.0,50.0,875.0,,,19.666666666666668,770.0,26.285714285714285,824.9285714285714,780.0,133.0
Детская книга Гарри Поттер Дж. Роулинг,2025-03-02,Санкт-Петербург,Махаон,Книги,47,579.5,775.0,24.5,91.0,4.85,393.0,2.5,Проктер Энд Гэмбл. Дистрибьюторская компания (Procter & Gamble),True,False,6,3,1,17.0,900.0,21.0,800.0,24.0,970.0,28.333333333333332,696.5,29.571428571428573,769.1428571428571,1025.0,100.0
Детская книга Гарри Поттер Дж. Роулинг,2025-03-02,Челябинск,Махаон,Книги,11,515.0,965.0,46.0,247.0,5.0,728.0,5.0,Зыков Инк,True,False,6,3,1,47.0,579.5,21.0,610.0,27.0,840.0,25.0,664.8333333333334,27.285714285714285,722.7142857142857,910.0,96.0
Детская книга Гарри Поттер Дж. Роулинг,2025-03-03,Санкт-Петербург,Махаон,Книги,18,910.0,910.0,0.0,81.0,5.0,675.0,7.0,"АО «Шестакова, Мельникова и Никифорова»",False,False,0,3,1,11.0,515.0,17.0,900.0,24.0,779.5,25.333333333333332,668.1666666666666,26.428571428571427,741.3571428571429,765.0,83.0
